sub_chapter_name,hsn,rate,chapter_name,sub_category_name,category_name
"COTTON YARN (OTHER THAN SEWING THREAD), CONTAINING LESS THAN 85% BY WEIGHT OF COTTON, NOT PUT UP FOR RETAIL SALE ",HSN 5206 41 00,5,Chapter 52 : Cotton,Measuring per single yarn 714.29 decitex or more (not exceeding 14 metric number per single yarn),"Multiple (folded) or cabled yarn, of combed fibres: "
"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED ",HSN 7211 19 20,18,Chapter 72 : Iron and steel,Universal plates,Other: 
"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED ",HSN 7211 14 90,,Chapter 72 : Iron and steel,Other,"Other, of a thickness of 4.75 mm or more: "
"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED ",HSN 7211 14 50,18,Chapter 72 : Iron and steel,Strip,"Other, of a thickness of 4.75 mm or more: "
"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED ",HSN 7211 19 10,18,Chapter 72 : Iron and steel,Flats,Other: 
"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED ",HSN 7211 19 30,18,Chapter 72 : Iron and steel,Hoops,Other: 
"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED ",HSN 7211 14 40,18,Chapter 72 : Iron and steel,Sheets,"Other, of a thickness of 4.75 mm or more: "
"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED ",HSN 7211 14 60,18,Chapter 72 : Iron and steel,Skelp,"Other, of a thickness of 4.75 mm or more: "
"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED ",HSN 7211 13 00,18,Chapter 72 : Iron and steel,"Rolled on four faces or in a closed box pass, of a width exceeding 150 mm and a thickness of not less than 4 mm, not in coils and without patterns in relief",Not further worked than hot-rolled: 
"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, CLAD, PLATED OR COATED ",HSN 7210 90 90,,Chapter 72 : Iron and steel,Other,Other: 
"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED ",HSN 7211 14 20,18,Chapter 72 : Iron and steel,Universal plates,"Other, of a thickness of 4.75 mm or more: "
"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, CLAD, PLATED OR COATED ",HSN 7210 70 00,18,Chapter 72 : Iron and steel,"Painted, varnished or coated with plastics",Plated or coated with aluminium: 
"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, CLAD, PLATED OR COATED ",HSN 7210 90 10,18,Chapter 72 : Iron and steel,Lacquered,Other: 
"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, CLAD, PLATED OR COATED ",HSN 7210 69 00,,Chapter 72 : Iron and steel,Other,Plated or coated with aluminium: 
"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED ",HSN 7211 14 10,18,Chapter 72 : Iron and steel,Flats,"Other, of a thickness of 4.75 mm or more: "
"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED ",HSN 7211 14 30,18,Chapter 72 : Iron and steel,Hoops,"Other, of a thickness of 4.75 mm or more: "
"TRACK SUITS, SKI SUITS AND SWIMWEAR OTHER GARMENTS ",HSN 6211 20 00,   ,"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted",Ski suits,Swimwear: 
"GARMENTS, MADE UP OF FABRICS OF HEADING 5602, 5603, 5903, 5906 OR 5907 ",HSN 6210 40 90,,"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted",Other,Other men's or boys' garments: 
"GARMENTS, MADE UP OF FABRICS OF HEADING 5602, 5603, 5903, 5906 OR 5907 ",HSN 6210 40 10,   ,"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted","Bullet proof jacket, bomb disposal jacket and the like",Other men's or boys' garments: 
"GARMENTS, MADE UP OF FABRICS OF HEADING 5602, 5603, 5903, 5906 OR 5907 ",HSN 6210 30 30,   ,"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted","Outer garments, of fabrics otherwise impregnated","Other garments, of the type described in sub- headings 6202 11 to 6202 19: "
"TRACK SUITS, SKI SUITS AND SWIMWEAR OTHER GARMENTS ",HSN 6211 32 00,12,"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted",Of cotton,"Other garments, men's or boys': "
"GARMENTS, MADE UP OF FABRICS OF HEADING 5602, 5603, 5903, 5906 OR 5907 ",HSN 6210 30 90,,"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted",Other,"Other garments, of the type described in sub- headings 6202 11 to 6202 19: "
"GARMENTS, MADE UP OF FABRICS OF HEADING 5602, 5603, 5903, 5906 OR 5907 ",HSN 6210 30 20,   ,"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted","Outer garments, of rubberised textile fabrics","Other garments, of the type described in sub- headings 6202 11 to 6202 19: "
"GARMENTS, MADE UP OF FABRICS OF HEADING 5602, 5603, 5903, 5906 OR 5907 ",HSN 6210 30 10,   ,"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted","Outer garments, of textiles impregnated, coated, covered or laminated with preparations of cellulose derivatives and other artificial plastic materials","Other garments, of the type described in sub- headings 6202 11 to 6202 19: "
"GARMENTS, MADE UP OF FABRICS OF HEADING 5602, 5603, 5903, 5906 OR 5907 ",HSN 6210 20 90,,"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted",Other,"Other garments, of the type described in sub- headings 6201 11 to 6201 19: "
"GARMENTS, MADE UP OF FABRICS OF HEADING 5602, 5603, 5903, 5906 OR 5907 ",HSN 6210 20 30,   ,"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted","Outer garments, of fabrics otherwise impregnated or coated","Other garments, of the type described in sub- headings 6201 11 to 6201 19: "
"GARMENTS, MADE UP OF FABRICS OF HEADING 5602, 5603, 5903, 5906 OR 5907 ",HSN 6210 20 20,   ,"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted","Outer garments, of fabrics impregnated, coated, covered or laminated with preparations of cellulose derivatives and other artificial plastic materials","Other garments, of the type described in sub- headings 6201 11 to 6201 19: "
"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",HSN 5407 41 29,,Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,Other,Bleached: 
"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",HSN 5407 41 24,5,Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,Nylon sarees,Bleached: 
"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",HSN 5407 41 21,5,Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,Nylon brasso,Bleached: 
"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",HSN 5407 41 13,5,Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,Nylon tafetta,Unbleached: 
"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",HSN 5407 41 14,5,Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,Nylon sarees,Unbleached: 
"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",HSN 5407 41 23,5,Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,Nylon tafetta,Bleached: 
"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",HSN 5407 41 22,5,Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,Nylon georgette,Bleached: 
"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",HSN 5407 41 12,5,Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,Nylon georgette,Unbleached: 
"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",HSN 5407 41 19,,Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,Other,Unbleached: 
"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",HSN 5407 41 11,5,Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,Nylon brasso,Unbleached: 
"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",HSN 5407 30 90,,Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,Other,Fabrics specified in Note 9 to Section XI: 
"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",HSN 5407 42 10,5,Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,Nylon brasso,Dyed: 
"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",HSN 5407 30 40,12,Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,Printed,Fabrics specified in Note 9 to Section XI: 
"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",HSN 5407 30 30,5,Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,Dyed,Fabrics specified in Note 9 to Section XI: 
"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",HSN 5407 30 20,5,Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,Bleached,Fabrics specified in Note 9 to Section XI: 
"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",HSN 5407 20 90,,Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,Other,Woven fabrics obtained from strip or the like: 
"WOVEN FABRICS OF SYNTHETIC STAPLE FIBRES, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBRES, MIXED MAINLY OR SOLELY WITH COTTON, OF A WEIGHT EXCEEDING 170 G/M2 ",HSN 5514 43 00,5,Chapter 55 : Man-made Staple Fibres,Other woven fabrics of polyester staple fibres,Of yarns of different colours: 
"WOVEN FABRICS OF SYNTHETIC STAPLE FIBRES, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBRES, MIXED MAINLY OR SOLELY WITH COTTON, OF A WEIGHT EXCEEDING 170 G/M2 ",HSN 5514 42 00,5,Chapter 55 : Man-made Staple Fibres,"3-thread or 4-thread twill, including cross twill, of polyester staple fibres",Of yarns of different colours: 
"WOVEN FABRICS OF SYNTHETIC STAPLE FIBRES, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBRES, MIXED MAINLY OR SOLELY WITH COTTON, OF A WEIGHT EXCEEDING 170 G/M2 ",HSN 5514 30 19,5,Chapter 55 : Man-made Staple Fibres,Other woven fabrics,Of yarns of different colours: 
"WOVEN FABRICS OF SYNTHETIC STAPLE FIBRES, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBRES, MIXED MAINLY OR SOLELY WITH COTTON, OF A WEIGHT EXCEEDING 170 G/M2 ",HSN 5514 30 13,5,Chapter 55 : Man-made Staple Fibres,Other woven fabrics of polyester staple fibres,Of yarns of different colours: 
"WOVEN FABRICS OF SYNTHETIC STAPLE FIBRES, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBRES, MIXED MAINLY OR SOLELY WITH COTTON, OF A WEIGHT EXCEEDING 170 G/M2 ",HSN 5514 41 00,5,Chapter 55 : Man-made Staple Fibres,"Of polyester staple fibres, plain weave",Of yarns of different colours: 
"WOVEN FABRICS OF SYNTHETIC STAPLE FIBRES, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBRES, MIXED MAINLY OR SOLELY WITH COTTON, OF A WEIGHT EXCEEDING 170 G/M2 ",HSN 5514 30 12,5,Chapter 55 : Man-made Staple Fibres,"3-thread or 4-thread twill, including cross twill, of polyester staple fibres",Of yarns of different colours: 
"WOVEN FABRICS OF SYNTHETIC STAPLE FIBRES, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBRES, MIXED MAINLY OR SOLELY WITH COTTON, OF A WEIGHT EXCEEDING 170 G/M2 ",HSN 5514 30 11,5,Chapter 55 : Man-made Staple Fibres,"Of polyester staple fibres, plain weave",Of yarns of different colours: 
"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",HSN 5407 30 10,5,Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,Unbleached,Fabrics specified in Note 9 to Section XI: 
"WOVEN FABRICS OF SYNTHETIC STAPLE FIBRES, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBRES, MIXED MAINLY OR SOLELY WITH COTTON, OF A WEIGHT EXCEEDING 170 G/M2 ",HSN 5514 21 00,5,Chapter 55 : Man-made Staple Fibres,"Of polyester staple fibres, plain weave",Dyed: 
"WOVEN FABRICS OF SYNTHETIC STAPLE FIBRES, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBRES, MIXED MAINLY OR SOLELY WITH COTTON, OF A WEIGHT EXCEEDING 170 G/M2 ",HSN 5514 19 20,5,Chapter 55 : Man-made Staple Fibres,Bleached,Other: 
"WOVEN FABRICS OF SYNTHETIC STAPLE FIBRES, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBRES, MIXED MAINLY OR SOLELY WITH COTTON, OF A WEIGHT EXCEEDING 170 G/M2 ",HSN 5514 12 20,5,Chapter 55 : Man-made Staple Fibres,Bleached,"3-thread or 4-thread twill, including cross twill, of polyester staple fibres: "
"WOVEN FABRICS OF SYNTHETIC STAPLE FIBRES, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBRES, MIXED MAINLY OR SOLELY WITH COTTON, OF A WEIGHT EXCEEDING 170 G/M2 ",HSN 5514 22 00,5,Chapter 55 : Man-made Staple Fibres,"3-thread or 4-thread twill, including cross twill, of polyester staple fibres",Dyed: 
"WOVEN FABRICS OF SYNTHETIC STAPLE FIBRES, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBRES, MIXED MAINLY OR SOLELY WITH COTTON, OF A WEIGHT EXCEEDING 170 G/M2 ",HSN 5514 19 10,5,Chapter 55 : Man-made Staple Fibres,Unbleached,Other: 
"WOVEN FABRICS OF SYNTHETIC STAPLE FIBRES, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBRES, MIXED MAINLY OR SOLELY WITH COTTON, OF A WEIGHT EXCEEDING 170 G/M2 ",HSN 5514 29 00,5,Chapter 55 : Man-made Staple Fibres,Other woven fabrics,Dyed: 
"WOVEN FABRICS OF SYNTHETIC STAPLE FIBRES, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBRES, MIXED MAINLY OR SOLELY WITH COTTON, OF A WEIGHT EXCEEDING 170 G/M2 ",HSN 5514 12 10,5,Chapter 55 : Man-made Staple Fibres,Unbleached,"3-thread or 4-thread twill, including cross twill, of polyester staple fibres: "
"WOVEN FABRICS OF SYNTHETIC STAPLE FIBRES, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBRES, MIXED MAINLY OR SOLELY WITH COTTON, OF A WEIGHT EXCEEDING 170 G/M2 ",HSN 5514 23 00,5,Chapter 55 : Man-made Staple Fibres,Other woven fabrics of polyester staple fibres,Dyed: 
"WOVEN FABRICS OF SYNTHETIC STAPLE FIBRES, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBRES, MIXED MAINLY OR SOLELY WITH COTTON, OF A WEIGHT EXCEEDING 170 G/M2 ",HSN 5514 11 10,5,Chapter 55 : Man-made Staple Fibres,Unbleached,"Of polyester staple fibres, plain weave: "
"WOVEN FABRICS OF SYNTHETIC STAPLE FIBRES, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBRES, MIXED MAINLY OR SOLELY WITH COTTON, OF A WEIGHT EXCEEDING 170 G/M2 ",HSN 5514 11 20,5,Chapter 55 : Man-made Staple Fibres,Bleached,"Of polyester staple fibres, plain weave: "
"WOVEN FABRICS OF SYNTHETIC STAPLE FIBRES, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBRES, MIXED MAINLY OR SOLELY WITH COTTON, OF A WEIGHT NOT EXCEEDING 170G/M2 ",HSN 5513 49 00,5,Chapter 55 : Man-made Staple Fibres,Other woven fabrics,Printed: 
WOVEN FABRICS OF COARSE ANIMAL HAIR OR OF HORSE HAIR ,HSN 5113 00 90,,"Chapter 51 : Wool, Fine or Coarse Animal Hair, Horsehair Yarn and Woven Fabrics",Other,Woven fabrics of coarse animal hair or of horse hair: 
WOVEN FABRICS OF COARSE ANIMAL HAIR OR OF HORSE HAIR ,HSN 5113 00 40,12,"Chapter 51 : Wool, Fine or Coarse Animal Hair, Horsehair Yarn and Woven Fabrics",Printed,Woven fabrics of coarse animal hair or of horse hair: 
WOVEN FABRICS OF COARSE ANIMAL HAIR OR OF HORSE HAIR ,HSN 5113 00 30,5,"Chapter 51 : Wool, Fine or Coarse Animal Hair, Horsehair Yarn and Woven Fabrics",Dyed,Woven fabrics of coarse animal hair or of horse hair: 
WOVEN FABRICS OF COMBED WOOL OR OF COMBED FINE ANIMAL HAIR ,HSN 5112 90 90,,"Chapter 51 : Wool, Fine or Coarse Animal Hair, Horsehair Yarn and Woven Fabrics",Other,Other: 
WOVEN FABRICS OF COARSE ANIMAL HAIR OR OF HORSE HAIR ,HSN 5113 00 10,5,"Chapter 51 : Wool, Fine or Coarse Animal Hair, Horsehair Yarn and Woven Fabrics",Unbleached,Woven fabrics of coarse animal hair or of horse hair: 
WOVEN FABRICS OF COARSE ANIMAL HAIR OR OF HORSE HAIR ,HSN 5113 00 20,5,"Chapter 51 : Wool, Fine or Coarse Animal Hair, Horsehair Yarn and Woven Fabrics",Bleached,Woven fabrics of coarse animal hair or of horse hair: 
WOVEN FABRICS OF COMBED WOOL OR OF COMBED FINE ANIMAL HAIR ,HSN 5112 90 40,12,"Chapter 51 : Wool, Fine or Coarse Animal Hair, Horsehair Yarn and Woven Fabrics",Printed,Other: 
WOVEN FABRICS OF COMBED WOOL OR OF COMBED FINE ANIMAL HAIR ,HSN 5112 90 30,5,"Chapter 51 : Wool, Fine or Coarse Animal Hair, Horsehair Yarn and Woven Fabrics",Dyed,Other: 
WOVEN FABRICS OF COMBED WOOL OR OF COMBED FINE ANIMAL HAIR ,HSN 5112 90 10,5,"Chapter 51 : Wool, Fine or Coarse Animal Hair, Horsehair Yarn and Woven Fabrics",Unbleached,Other: 
WOVEN FABRICS OF COMBED WOOL OR OF COMBED FINE ANIMAL HAIR ,HSN 5112 90 50,12,"Chapter 51 : Wool, Fine or Coarse Animal Hair, Horsehair Yarn and Woven Fabrics",of Handloom,Other: 
WOVEN FABRICS OF COMBED WOOL OR OF COMBED FINE ANIMAL HAIR ,HSN 5112 90 20,5,"Chapter 51 : Wool, Fine or Coarse Animal Hair, Horsehair Yarn and Woven Fabrics",Bleached,Other: 
WOVEN FABRICS OF COMBED WOOL OR OF COMBED FINE ANIMAL HAIR ,HSN 5112 30 90,,"Chapter 51 : Wool, Fine or Coarse Animal Hair, Horsehair Yarn and Woven Fabrics",Other,"Other, mixed mainly or solely with man-made staple fibres: "
"TRACK SUITS, SKI SUITS AND SWIMWEAR, KNITTED OR CROCHETED ",HSN 6112 39 10,5,"Chapter 61 : Articles of Apparel and Clothing Accessories, Knitted or Crocheted",Of silk,Of other textile materials: 
WOVEN FABRICS OF COMBED WOOL OR OF COMBED FINE ANIMAL HAIR ,HSN 5112 30 40,12,"Chapter 51 : Wool, Fine or Coarse Animal Hair, Horsehair Yarn and Woven Fabrics",Printed,"Other, mixed mainly or solely with man-made staple fibres: "
"TRACK SUITS, SKI SUITS AND SWIMWEAR, KNITTED OR CROCHETED ",HSN 6112 31 00,5,"Chapter 61 : Articles of Apparel and Clothing Accessories, Knitted or Crocheted",Of synthetic fibres,Men's or boys' swimwear: 
"TRACK SUITS, SKI SUITS AND SWIMWEAR, KNITTED OR CROCHETED ",HSN 6112 20 50,5,"Chapter 61 : Articles of Apparel and Clothing Accessories, Knitted or Crocheted",Of artificial fibres,Ski suits: 
"TRACK SUITS, SKI SUITS AND SWIMWEAR, KNITTED OR CROCHETED ",HSN 6112 20 40,5,"Chapter 61 : Articles of Apparel and Clothing Accessories, Knitted or Crocheted",Of synthetic fibres,Ski suits: 
"TRACK SUITS, SKI SUITS AND SWIMWEAR, KNITTED OR CROCHETED ",HSN 6112 20 90,,"Chapter 61 : Articles of Apparel and Clothing Accessories, Knitted or Crocheted",Other,Ski suits: 
"TRACK SUITS, SKI SUITS AND SWIMWEAR, KNITTED OR CROCHETED ",HSN 6112 20 30,12,"Chapter 61 : Articles of Apparel and Clothing Accessories, Knitted or Crocheted",Of cotton,Ski suits: 
"TRACK SUITS, SKI SUITS AND SWIMWEAR, KNITTED OR CROCHETED ",HSN 6112 20 20,12,"Chapter 61 : Articles of Apparel and Clothing Accessories, Knitted or Crocheted",Of wool or fine animal hair,Ski suits: 
"TRACK SUITS, SKI SUITS AND SWIMWEAR, KNITTED OR CROCHETED ",HSN 6112 20 10,5,"Chapter 61 : Articles of Apparel and Clothing Accessories, Knitted or Crocheted",Of silk,Ski suits: 
"TRACK SUITS, SKI SUITS AND SWIMWEAR, KNITTED OR CROCHETED ",HSN 6112 19 90,,"Chapter 61 : Articles of Apparel and Clothing Accessories, Knitted or Crocheted",Other,Of other textile materials: 
"TRACK SUITS, SKI SUITS AND SWIMWEAR, KNITTED OR CROCHETED ",HSN 6112 12 00,5,"Chapter 61 : Articles of Apparel and Clothing Accessories, Knitted or Crocheted",Of synthetic fibres,Track suits: 
"TRACK SUITS, SKI SUITS AND SWIMWEAR, KNITTED OR CROCHETED ",HSN 6112 19 20,12,"Chapter 61 : Articles of Apparel and Clothing Accessories, Knitted or Crocheted",Of wool or fine animal hair,Of other textile materials: 
"TRACK SUITS, SKI SUITS AND SWIMWEAR, KNITTED OR CROCHETED ",HSN 6112 19 10,5,"Chapter 61 : Articles of Apparel and Clothing Accessories, Knitted or Crocheted",Of silk,Of other textile materials: 
"COTTON YARN (OTHER THAN SEWING THREAD), CONTAINING LESS THAN 85% BY WEIGHT OF COTTON, NOT PUT UP FOR RETAIL SALE ",HSN 5206 32 00,5,Chapter 52 : Cotton,Measuring per single yarn less than 714.29 decitex but not less than 232.56 decitex (exceeding 14 metric number but not exceeding 43 metric number per single yarn),"Multiple (folded) or cabled yarn, of uncombed fibres: "
"TRACK SUITS, SKI SUITS AND SWIMWEAR, KNITTED OR CROCHETED ",HSN 6112 11 00,12,"Chapter 61 : Articles of Apparel and Clothing Accessories, Knitted or Crocheted",Of cotton,Track suits: 
