chapter_name,sub_chapter_name,category_name,sub_category_name,hsn,rate
Chapter 72 : Iron and steel,WIRE OF IRON OR NON-ALLOY STEEL ,Plated or coated with other base metals: ,Of a thickness above 26 SWG,HSN 7217 30 30,18
Chapter 72 : Iron and steel,WIRE OF IRON OR NON-ALLOY STEEL ,Shaped and profiled wire: ,Of cross section ? half round,HSN 7217 90 11,18
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",Unbleached or bleached: ,Unbleached,HSN 5408 31 10,5
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",Of rayon: ,Other,HSN 5408 24 19,
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",Of rayon: ,Rayon shirtings,HSN 5408 24 17,5
Chapter 72 : Iron and steel,WIRE OF IRON OR NON-ALLOY STEEL ,Plated or coated with other base metals: ,Of a thickness above 18 SWA but upto 26 SWG,HSN 7217 30 20,18
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",Fabrics of rayon: ,Rayon brocades,HSN 5408 32 11,5
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",Of rayon: ,Rayon sarees,HSN 5408 24 18,5
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",Unbleached or bleached: ,Bleached,HSN 5408 31 20,5
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",Of rayon: ,Rayon suitings,HSN 5408 24 16,5
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",Of rayon: ,Rayon georgette,HSN 5408 24 14,5
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",Of rayon: ,Rayon tafetta,HSN 5408 24 15,5
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",Of rayon: ,Other,HSN 5408 24 90,
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",Of rayon: ,Rayon brocades,HSN 5408 24 13,5
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",Of rayon: ,Rayon jacquards,HSN 5408 24 12,5
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",Of rayon: ,Rayon crepe fabrics,HSN 5408 24 11,5
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",Fabrics of rayon: ,Of yarns of different colour,HSN 5408 23 00,5
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",Fabrics of rayon: ,Other than rayon,HSN 5408 22 90,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","3-thread or 4-thread twill, including cross twill: ",Shirting fabrics,HSN 5208 43 20,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing more than 100 g/m2: ","Furnishing fabrics, other than pile and chenille fabrics",HSN 5208 42 60,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing more than 100 g/m2: ",Other,HSN 5208 42 90,
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","3-thread or 4-thread twill, including cross twill: ",Bleading Madras,HSN 5208 43 10,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","3-thread or 4-thread twill, including cross twill: ","Bedticking, damask",HSN 5208 43 30,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing more than 100 g/m2: ",Saree,HSN 5208 42 20,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing not more than 100 g/m2: ",Other,HSN 5208 41 90,
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing more than 100 g/m2: ",Shirting fabrics,HSN 5208 42 30,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing not more than 100 g/m2: ","Bed ticking, domestic",HSN 5208 41 40,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing more than 100 g/m2: ",Bleeding Madras,HSN 5208 42 10,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing more than 100 g/m2: ",Casement,HSN 5208 42 40,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing more than 100 g/m2: ","Bed ticking, domestic",HSN 5208 42 50,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing not more than 100 g/m2: ",Furnishing fabrics (excluding pile and chenille fabrics),HSN 5208 41 50,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing not more than 100 g/m2: ",Shirting fabrics,HSN 5208 41 30,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing not more than 100 g/m2: ",Saree,HSN 5208 41 20,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing not more than 100 g/m2: ","Sarees, of Handloom",HSN 5208 41 21,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing not more than 100 g/m2: ",Bleeding Madras,HSN 5208 41 10,5
Chapter 72 : Iron and steel,WIRE OF IRON OR NON-ALLOY STEEL ,Plated or coated with zinc: ,Of a thickness above 18 SWG but upto 26 SWG,HSN 7217 20 20,18
Chapter 72 : Iron and steel,WIRE OF IRON OR NON-ALLOY STEEL ,Plated or coated with other base metals: ,Of a thickness of 18 SWG and below,HSN 7217 30 10,18
Chapter 72 : Iron and steel,WIRE OF IRON OR NON-ALLOY STEEL ,Plated or coated with zinc: ,Of a thickness above 26 SWG,HSN 7217 20 30,18
Chapter 72 : Iron and steel,WIRE OF IRON OR NON-ALLOY STEEL ,Plated or coated with zinc: ,Of a thickness of 18 SWG and below,HSN 7217 20 10,18
Chapter 72 : Iron and steel,WIRE OF IRON OR NON-ALLOY STEEL ,"Not plated or coated, whether or not polished: ",Of a thickness above 18 SWG but upto 26 SWG,HSN 7217 10 20,18
Chapter 72 : Iron and steel,"ANGLES, SHAPES AND SECTIONS OF IRON OR NON-ALLOY STEEL ",Other: ,Other,HSN 7216 99 90,
Chapter 72 : Iron and steel,"ANGLES, SHAPES AND SECTIONS OF IRON OR NON-ALLOY STEEL ",Other: ,Forged,HSN 7216 99 40,18
Chapter 72 : Iron and steel,"ANGLES, SHAPES AND SECTIONS OF IRON OR NON-ALLOY STEEL ",Other: ,Plated or coated with base metals other than zinc,HSN 7216 99 20,18
Chapter 72 : Iron and steel,"ANGLES, SHAPES AND SECTIONS OF IRON OR NON-ALLOY STEEL ",Other: ,Slotted angles and slotted channels,HSN 7216 99 30,18
Chapter 72 : Iron and steel,WIRE OF IRON OR NON-ALLOY STEEL ,"Not plated or coated, whether or not polished: ",Of a thickness above 26 SWG,HSN 7217 10 30,18
Chapter 72 : Iron and steel,"ANGLES, SHAPES AND SECTIONS OF IRON OR NON-ALLOY STEEL ",Other: ,Plated or coated with zinc,HSN 7216 99 10,18
Chapter 72 : Iron and steel,"ANGLES, SHAPES AND SECTIONS OF IRON OR NON-ALLOY STEEL ",Other: ,Cold-formed or cold-finished from flat rolled products,HSN 7216 91 00,18
Chapter 72 : Iron and steel,"ANGLES, SHAPES AND SECTIONS OF IRON OR NON-ALLOY STEEL ","Angles, shapes and sections, not further worked than cold-formed or cold-finished: ",Other,HSN 7216 69 00,
Chapter 72 : Iron and steel,WIRE OF IRON OR NON-ALLOY STEEL ,"Not plated or coated, whether or not polished: ",Of a thickness of 18 SWG and below,HSN 7217 10 10,18
Chapter 72 : Iron and steel,"ANGLES, SHAPES AND SECTIONS OF IRON OR NON-ALLOY STEEL ","U, I or H sections, not further worked than hot- rolled, hot-drawn or extruded of a height of 80 mm or more: ","Other angles, shapes and sections, not further worked than hot-rolled, hot-drawn or extruded",HSN 7216 50 00,18
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",Fabrics of rayon: ,Rayon georgette,HSN 5408 22 14,5
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",Fabrics of rayon: ,Rayon crepe fabrics,HSN 5408 22 11,5
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",Fabrics of rayon: ,Rayon jacquards,HSN 5408 22 12,5
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",Fabrics of rayon: ,Rayon brocades,HSN 5408 22 13,5
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",Unbleached or Bleached: ,Bleached,HSN 5408 21 20,5
Chapter 72 : Iron and steel,"ANGLES, SHAPES AND SECTIONS OF IRON OR NON-ALLOY STEEL ","Angles, shapes and sections, not further worked than cold-formed or cold-finished: ",Obtained from flat-rolled products,HSN 7216 61 00,18
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",Unbleached or Bleached: ,Unbleached,HSN 5408 21 10,5
Chapter 55 : Man-made Staple Fibres,WOVEN FABRICS OF ARTIFICIAL STAPLE FIBRES ,Unbleached or bleached: ,Printed,HSN 5516 94 00,12
Chapter 55 : Man-made Staple Fibres,WOVEN FABRICS OF ARTIFICIAL STAPLE FIBRES ,Unbleached or bleached: ,Of yarns of different colours,HSN 5516 93 00,5
Chapter 55 : Man-made Staple Fibres,WOVEN FABRICS OF ARTIFICIAL STAPLE FIBRES ,Unbleached or bleached: ,Dyed,HSN 5516 92 00,5
Chapter 55 : Man-made Staple Fibres,WOVEN FABRICS OF ARTIFICIAL STAPLE FIBRES ,Unbleached or bleached: ,Printed,HSN 5516 44 00,12
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ",Other fabrics: ,Other,HSN 5208 39 90,
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ",Other fabrics: ,Zari bordered sarees,HSN 5208 39 10,5
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5405 ",,Woven fabrics obtained from high tenacity yarn of viscose rayon,HSN 5408 10 00,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","3-thread or 4 thread twill, including cross twill: ",Other,HSN 5208 33 90,
Chapter 55 : Man-made Staple Fibres,WOVEN FABRICS OF ARTIFICIAL STAPLE FIBRES ,Unbleached or bleached: ,Bleached,HSN 5516 91 20,5
Chapter 55 : Man-made Staple Fibres,WOVEN FABRICS OF ARTIFICIAL STAPLE FIBRES ,Unbleached or bleached: ,Unbleached,HSN 5516 91 10,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","3-thread or 4 thread twill, including cross twill: ",Shirting (including mazri),HSN 5208 33 30,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","3-thread or 4 thread twill, including cross twill: ",Coating (including suiting),HSN 5208 33 20,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","3-thread or 4 thread twill, including cross twill: ",Shirting fabrics,HSN 5208 33 10,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing more than 100 g/m2: ",Furnishing fabrics (excluding pile and chenille fabrics),HSN 5208 32 80,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing more than 100 g/m2: ",Coating (including suiting),HSN 5208 32 70,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing more than 100 g/m2: ","Cambrics (including madapollam and jaconet), Longcloth (including calico) and voils (excluding leno fabrics)",HSN 5208 32 60,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing more than 100 g/m2: ","Bedticking, domestic",HSN 5208 32 50,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing more than 100 g/m2: ",Saree,HSN 5208 32 20,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing more than 100 g/m2: ",Other,HSN 5208 32 90,
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing more than 100 g/m2: ",Shirting fabrics,HSN 5208 32 30,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing more than 100 g/m2: ",Casement,HSN 5208 32 40,5
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing not more than 100 g/m2: ",Other,HSN 5208 31 90,
Chapter 72 : Iron and steel,"ANGLES, SHAPES AND SECTIONS OF IRON OR NON-ALLOY STEEL ","U, I or H sections, not further worked than hot- rolled, hot-drawn or extruded of a height of 80 mm or more: ","L or T sections, not further worked than hot- rolled, hot-drawn or extruded, of a height of 80 mm or more",HSN 7216 40 00,18
Chapter 52 : Cotton,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE BY WEIGHT OF COTTON, WEIGHING NOT MORE THAN 200 G/M2 ","Plain weave, weighing more than 100 g/m2: ",Lungi,HSN 5208 32 10,5
Chapter 72 : Iron and steel,"ANGLES, SHAPES AND SECTIONS OF IRON OR NON-ALLOY STEEL ","U, I or H sections, not further worked than hot- rolled, hot-drawn or extruded of a height of 80 mm or more: ",H sections,HSN 7216 33 00,18
Chapter 72 : Iron and steel,"ANGLES, SHAPES AND SECTIONS OF IRON OR NON-ALLOY STEEL ",,"U, I or H sections, not further worked than hot- rolled, hot-drawn or extruded of a height of less than 80 mm",HSN 7216 10 00,18
Chapter 72 : Iron and steel,OTHER BARS AND RODS OF IRON OR NON-ALLOY STEEL ,Other: ,Other,HSN 7215 90 90,
Chapter 72 : Iron and steel,OTHER BARS AND RODS OF IRON OR NON-ALLOY STEEL ,Other: ,Plated or coated with other base metals,HSN 7215 90 20,18
Chapter 72 : Iron and steel,"ANGLES, SHAPES AND SECTIONS OF IRON OR NON-ALLOY STEEL ","U, I or H sections, not further worked than hot- rolled, hot-drawn or extruded of a height of 80 mm or more: ",U sections,HSN 7216 31 00,18
Chapter 72 : Iron and steel,"ANGLES, SHAPES AND SECTIONS OF IRON OR NON-ALLOY STEEL ","L or T sections, not further worked than hot- rolled, hot-drawn or extruded, of a height of less than 80 mm: ",T sections,HSN 7216 22 00,18
Chapter 72 : Iron and steel,"ANGLES, SHAPES AND SECTIONS OF IRON OR NON-ALLOY STEEL ","L or T sections, not further worked than hot- rolled, hot-drawn or extruded, of a height of less than 80 mm: ",L sections,HSN 7216 21 00,18
Chapter 72 : Iron and steel,"ANGLES, SHAPES AND SECTIONS OF IRON OR NON-ALLOY STEEL ","U, I or H sections, not further worked than hot- rolled, hot-drawn or extruded of a height of 80 mm or more: ",I sections,HSN 7216 32 00,18
Chapter 72 : Iron and steel,OTHER BARS AND RODS OF IRON OR NON-ALLOY STEEL ,Other: ,Plated or coated with zinc,HSN 7215 90 10,18
Chapter 72 : Iron and steel,OTHER BARS AND RODS OF IRON OR NON-ALLOY STEEL ,"Other, not further worked than cold-formed or cold-finished: ",Other,HSN 7215 50 90,
Chapter 72 : Iron and steel,OTHER BARS AND RODS OF IRON OR NON-ALLOY STEEL ,"Other, not further worked than cold-formed or cold-finished: ",Mild steel bright bar,HSN 7215 50 10,18
Chapter 72 : Iron and steel,OTHER BARS AND RODS OF IRON OR NON-ALLOY STEEL ,,"Of free-cutting steel, not further worked than cold-formed or cold-finished",HSN 7215 10 00,18
"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted","OTHER MADE UP CLOTHING ACCESSORIES PARTS OF GARMENTS OR OF CLOTHING ACCESSORIES, OTHER THAN THOSE OF HEADING 6212 ",Parts: ,Separately presented removable linings for raincoats and other,HSN 6217 90 40,   
"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted","OTHER MADE UP CLOTHING ACCESSORIES PARTS OF GARMENTS OR OF CLOTHING ACCESSORIES, OTHER THAN THOSE OF HEADING 6212 ",Parts: ,Of wool,HSN 6217 90 30,12
"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted","OTHER MADE UP CLOTHING ACCESSORIES PARTS OF GARMENTS OR OF CLOTHING ACCESSORIES, OTHER THAN THOSE OF HEADING 6212 ",Parts: ,Of silk,HSN 6217 90 20,5
"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted","OTHER MADE UP CLOTHING ACCESSORIES PARTS OF GARMENTS OR OF CLOTHING ACCESSORIES, OTHER THAN THOSE OF HEADING 6212 ",Parts: ,Other,HSN 6217 90 90,
"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted","OTHER MADE UP CLOTHING ACCESSORIES PARTS OF GARMENTS OR OF CLOTHING ACCESSORIES, OTHER THAN THOSE OF HEADING 6212 ",Accessories: ,Other,HSN 6217 10 90,
"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted","OTHER MADE UP CLOTHING ACCESSORIES PARTS OF GARMENTS OR OF CLOTHING ACCESSORIES, OTHER THAN THOSE OF HEADING 6212 ",Accessories: ,"Stockings, socks, sockettes and the like of cotton",HSN 6217 10 70,   
"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted","OTHER MADE UP CLOTHING ACCESSORIES PARTS OF GARMENTS OR OF CLOTHING ACCESSORIES, OTHER THAN THOSE OF HEADING 6212 ",Accessories: ,For articles of apparel of wool,HSN 6217 10 30,   
"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted","OTHER MADE UP CLOTHING ACCESSORIES PARTS OF GARMENTS OR OF CLOTHING ACCESSORIES, OTHER THAN THOSE OF HEADING 6212 ",Accessories: ,For articles of apparel of regenerated fibre,HSN 6217 10 50,   
"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted","OTHER MADE UP CLOTHING ACCESSORIES PARTS OF GARMENTS OR OF CLOTHING ACCESSORIES, OTHER THAN THOSE OF HEADING 6212 ",Accessories: ,For articles of apparel of silk,HSN 6217 10 40,   
"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted","OTHER MADE UP CLOTHING ACCESSORIES PARTS OF GARMENTS OR OF CLOTHING ACCESSORIES, OTHER THAN THOSE OF HEADING 6212 ",Accessories: ,For articles of apparel of synthetic fibres,HSN 6217 10 20,   
"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted","OTHER MADE UP CLOTHING ACCESSORIES PARTS OF GARMENTS OR OF CLOTHING ACCESSORIES, OTHER THAN THOSE OF HEADING 6212 ",Accessories: ,For articles of apparel of other fibres,HSN 6217 10 60,   
"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted","OTHER MADE UP CLOTHING ACCESSORIES PARTS OF GARMENTS OR OF CLOTHING ACCESSORIES, OTHER THAN THOSE OF HEADING 6212 ",Accessories: ,For articles of apparel of cotton,HSN 6217 10 10,   
"Chapter 62 : Articles  of Apparel and  Clothing Accessories, Not Knitted or Crocheted","OTHER MADE UP CLOTHING ACCESSORIES PARTS OF GARMENTS OR OF CLOTHING ACCESSORIES, OTHER THAN THOSE OF HEADING 6212 ",Parts: ,Collar cuffs and the like of cotton,HSN 6217 90 10,   
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",Other woven fabrics: ,Dyed,HSN 5407 92 00,5
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",Other woven fabrics: ,Unbleached and bleached:,HSN 5407 91,   
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",Other woven fabrics: ,Bleached,HSN 5407 91 20,5
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",Other woven fabrics: ,Unbleached,HSN 5407 91 10,5
Chapter 54 : Man-made filaments; strip and the like of man-made textile materials,"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM ",Printed: ,Polyester sarees,HSN 5407 84 70,5
